Mongolia MBA Munkhkhairkhan 2	M								H15b1														
Mongolia MBA Munkhkhairkhan 2 dup.I13173	M								H15b1														
Mongolia North N mother.I23394	F				D4j																		
Mongolia Selenge LateMedieval	F							G2a5															
Mongolia Selenge Xiongnu	M				D5a2a1																		
Mongolia Selenge XiongnuMedieval	M				D2																		
Mongolia Sukhbaatar LateMedieval	M														N1a1a1a1a		R11a						
Mongolia Sukhbaatar XiongnuLateMedieval	M				D4j+16311																		
Mongolia Umungobi LateMedieval	F							G3a3															
Mongolia Uvs EIAXiongnuLateMedival	F														N9a9								
Mongolia Uvs EIAXiongnuLateMedival	M																	T2b34					
Mongolia Uvurkhangai EIALateMedieval	M				D4b2b																		
Mongolia Uvurkhangai Xiongnu	M														N9a1								
Montenegro MLBA	F								H7c2														
Morocco Iberomaurusian	M													M1b									
Nepal Mustang Chokhopani IA	M	A17																					
Nepal Mustang Samdzong MiddleKingdoms	F						F1g																
Nepal Mustang Samdzong MiddleKingdoms	M													M9a1a1c1b1a									
Netherlands BellBeaker	M								H														
Netherlands Friesland Saxon Medieval oEastMed.SG	F										J1c3												
Netherlands MBA	F																		U4a3				
Netherlands MBA	M								H5b														
Norway LN BA.SG	M																		U2e2a				
Norway Medieval.SG	M								H1a3a														
Norway Medieval lc.SG	M																		U6a3				
Norway Viking.SG	M								H13a1a1a		J1c5							T2b					
Pakistan Aligrama H	F																				W6		
Pakistan Barikot H	F																R30b1						
Pakistan Katelai IA	F								HV18,HV14a												W3b		
Pakistan Katelai IA	M													M30c1									
Pakistan Loebanr IA	F														N1a2								
Pakistan Loebanr IA	M								HV2a										U7a				
Pakistan Loebanr IA son.I6292.son.I10000	M																	T2g1a					
Pakistan SaiduSharif H	M											K1b1a1+199							U2b2				
Pakistan Udegram Medieval Ghaznavid father.or.son.I2959	M				D4c2b																		
Panama IsthmoColombian oEuropean lc.SG	M								H5														
Peru Antaura Tiwanaku	F	A2d1																					
Peru Cuncaicha 3300BP contam	M	A2h																					
Peru ElBrujo EIP 1300BP	M			C1b																			
Peru LimaCoast MH 1000BP	F	A2+(64)																					
Peru MH LIP Lambayeque	F	A2+(64)+16129																					
Peru Palpa LIP 550BP	F																R						
Peru Palpa MH 950BP	M			C5b																			
Peru SanSebastian LIP 600BP	M			C5b																			
Peru Ullujaya MH 950BP	F																R						
Philippines RedSlippedPottery.WGC	F		B5b1a																				
Poland BKG o1.SG	F																		U5b2a1a				
Poland BellBeaker son.I6581 brother.I6582 lc	M																		U5a2b				
Poland CordedWare.SG	F																		U3a’c 				
Poland EBA	F											K1a4a1g											
Poland EBA Unetice.SG	F																		U4,U5a1b1				
Poland GlobularAmphora	M																				W5		
Poland Southeast CordedWare.SG	F								H2a2b														
Poland Southeast CordedWare.SG	M									I2								T1a1					
Poland Viking.SG	M										J1b1a1b												
Poland Viking father.or.son.VK156.SG	M								H1c3														
Portugal C	M											K1a1							U5b1+16189+@16192				
Portugal EBA lc	F								H1+16311														
Portugal Geometric Mesolithic	F																		U5b1 + 16189				
Portugal LN C.SG	M											K1b1a											
Portugal MN.SG	F								H3														
PuertoRico Monserrate Ceramic	M	A2																					
PuertoRico PasodelIndio Ceramic	M	A2																					
PuertoRico PuntaCandelero Ceramic	F	A2h																					
Romania BA Arman	F											K1c1											
Romania C Bodrogkeresztur	F								H+152		J1c1												
Romania C Bodrogkeresztur	M								HV0a,H5n														
